split,class,precision,recall,f1,support
train,Benign,1.0,1.0,1.0,23438.0
train,Ransomware,0.8591514553527381,0.8894279877425945,0.8740276035131744,7832.0
train,Spyware,0.8788232547279944,0.9391217564870259,0.9079725003015318,8016.0
train,Trojan,0.9102602010644589,0.8111989459815547,0.8578793367702383,7590.0
