split,class,group,n,confidence_mean,confidence_median
train,Benign,correct,23438,0.9999996423721313,1.0
train,Benign,wrong,0,,
train,Ransomware,correct,6966,0.8842212557792664,0.9711592197418213
train,Ransomware,wrong,866,0.6373584270477295,0.6080220937728882
train,Spyware,correct,7528,0.8971113562583923,0.9687134623527527
train,Spyware,wrong,488,0.620744526386261,0.5877183675765991
train,Trojan,correct,6157,0.9166461229324341,0.9924902319908142
train,Trojan,wrong,1433,0.6333439946174622,0.6179956197738647
