epoch,lr,epoch_seconds,train_step_loss,train_loss,train_acc,train_macro_f1,train_weighted_f1,train_malware_avg_f1,val_loss,val_acc,val_macro_f1,val_weighted_f1,val_malware_avg_f1,macro_f1_gap_train_minus_val,cont_gate_min,cont_gate_max,cont_gate_mean,cont_gate_std
1,0.000125,10.998,0.8835032623277426,0.7490237204020865,0.751237306937452,0.6094210552980586,0.7383189897726788,0.48050831953793977,0.7548568116113188,0.7480375426621161,0.6035359523907488,0.7339382905108913,0.4729731738852602,0.005885102907309814,0.4970893859863281,0.5018882155418396,0.49917393922805786,0.0010651798220351338
2,0.00025,10.221,0.710347349412389,0.6418921578783907,0.7997269391586312,0.6923062696605848,0.7949275236227702,0.5901545865535401,0.6485954773303999,0.7956484641638225,0.6869078687129877,0.7910670161777289,0.5831131389273084,0.005398400947597137,0.4931561052799225,0.5021792650222778,0.4982836842536926,0.0017753649735823274
3,0.000375,10.418,0.6391058226872328,0.5864169121154778,0.8285049918935062,0.7434530553881482,0.8291070142167679,0.6581152001336404,0.6020838028741778,0.8272184300341296,0.7411927072112896,0.8272271530607491,0.6553217214275989,0.0022603481768586065,0.4897140562534332,0.5023024082183838,0.497089684009552,0.002645409433171153
4,0.0005,10.39,0.6036937908768624,0.556191952544498,0.8330062292004438,0.7491387896602374,0.8330237189462174,0.6657175185655452,0.5782247507938346,0.8280716723549488,0.742495249845484,0.8283974062027796,0.6569448443370537,0.0066435398147534075,0.4879184365272522,0.5025193691253662,0.4957313537597656,0.003382808994501829
5,0.000625,10.914,0.5800162237530143,0.5276936825931616,0.8463819438518645,0.768744978170264,0.8461492138749972,0.6917879954744048,0.552946932079849,0.8380546075085324,0.7571253553436831,0.838156454034388,0.6764517002442552,0.011619622826580911,0.48361438512802124,0.5028319358825684,0.49414578080177307,0.004911395721137524
6,0.00075,11.023,0.5695926332058725,0.5507514251764647,0.8369314787951191,0.7558501633063329,0.8372666517342751,0.6746447380704508,0.5713218827296442,0.8302047781569966,0.7457258034190364,0.8302806717788364,0.6612807803804518,0.010124359887296541,0.4746130406856537,0.5024920105934143,0.4920554459095001,0.006332011893391609
7,0.000875,11.427,0.5636640447547527,0.5455917251762122,0.8344995306766789,0.7433920230371747,0.8296543376988359,0.6580338464280292,0.5733432208718701,0.8267918088737202,0.7343130106250405,0.8232971596751981,0.6460921525766006,0.009079012412134158,0.4668883979320526,0.5043439865112305,0.4890349507331848,0.00849130004644394
8,0.001,11.234,0.5572702895354997,0.5210249180557358,0.8523338168785732,0.7792569981587172,0.8529733048753575,0.7059178423943723,0.5691257906855169,0.8429180887372013,0.7651362362629671,0.8434259683826665,0.6871044406896195,0.014120761895750067,0.45470109581947327,0.5035045146942139,0.4856964945793152,0.010900845751166344
9,0.0009995479052513825,10.884,0.5416616277082736,0.49859025806623447,0.8523338168785732,0.7770002303034248,0.8515909324808228,0.7028092354140267,0.5354364703539696,0.841296928327645,0.7615332663877767,0.841081830885612,0.6823004808560323,0.015466963915648058,0.44778719544410706,0.5042887330055237,0.4831272065639496,0.012894731014966965
10,0.0009981924815935792,10.812,0.5292619833849388,0.48706825864997594,0.857987029610035,0.7855559065360367,0.8573685195861162,0.7142025611655706,0.5369371441037175,0.8451365187713311,0.7673915598596115,0.8450177512024944,0.6901114950923715,0.01816434667642519,0.4403631091117859,0.5062704086303711,0.4818485379219055,0.014629874378442764
11,0.00099593630915256,10.654,0.5159206139353704,0.47587396621663414,0.8618269476917826,0.7908876311071612,0.8609055922657609,0.7212759762591637,0.516073073258579,0.8476962457337884,0.7700534089634904,0.8468686332363684,0.6936321931134626,0.02083422214367081,0.4332710802555084,0.5046749114990234,0.47948282957077026,0.016589364036917686
12,0.000992783682680799,10.772,0.5029876852124021,0.47261323370576686,0.8646002218619336,0.7946281323437419,0.8634945222940448,0.7262633112412713,0.5233502394510211,0.8474402730375427,0.7699982212045654,0.84686616009934,0.6935301704623438,0.024629911139176452,0.42742958664894104,0.5063682198524475,0.47706905007362366,0.0182484220713377
13,0.0009887406033819684,10.74,0.4925506236162779,0.4491100390623307,0.8704667633757146,0.8047917587788191,0.8701496824487172,0.7398148092085597,0.515803184281437,0.8529863481228669,0.7792735452161361,0.852957644275417,0.705868796159788,0.025518213562683023,0.4281805157661438,0.5073304772377014,0.4756679832935333,0.018457656726241112
14,0.0009838147674873074,10.877,0.4814591181442003,0.43891889679319,0.8703174332280912,0.8050733510795587,0.8702800037554138,0.7401760336753601,0.4978110746718918,0.8558873720136518,0.7839375554652959,0.8559437047946088,0.7121443884492035,0.02113579561426282,0.4244544208049774,0.5105352997779846,0.4738399088382721,0.02042382024228573
15,0.0009780155516054079,11.084,0.46731814495155516,0.438245348240066,0.8726427169553717,0.8073610945383188,0.8718214978394425,0.7432334794140143,0.510788573584052,0.851023890784983,0.7752539063817366,0.8502222057617053,0.7005662285454122,0.0321071881565822,0.42100808024406433,0.5104045271873474,0.47203102707862854,0.02146129682660103
16,0.0009713539948733066,10.923,0.4617828805095273,0.43157400220965697,0.8748826691697243,0.8100364432479059,0.8737799141286018,0.7468148408371635,0.5113631413251467,0.8522184300341297,0.7774525819005133,0.8518231520886115,0.7035262348730141,0.03258386134739266,0.4178415536880493,0.509034276008606,0.47080016136169434,0.02200734056532383
17,0.0009638427779428612,10.926,0.45172123581346507,0.4186868788144401,0.8822638450379725,0.8219260747558402,0.8813369370297052,0.7628452556279769,0.5250074723881666,0.8578498293515359,0.7857039453430625,0.857034759832086,0.7146699710226391,0.03622212941277769,0.4161275029182434,0.5122302174568176,0.46930423378944397,0.023357776924967766
18,0.0009554961988424088,10.654,0.442353964782695,0.39432534992272705,0.8875543988394914,0.8299558333269846,0.8869225360920338,0.773345563133085,0.4950712851290003,0.8616040955631399,0.7919718724603053,0.8612328735529945,0.7229705184604719,0.03798396086667932,0.4115149974822998,0.5120048522949219,0.46782001852989197,0.02425982803106308
19,0.0009463301457596552,10.713,0.43101293897860715,0.38980515348147343,0.8871704070313167,0.8292503458160216,0.8864965090833106,0.7724049191884287,0.4876142756930797,0.8598976109215017,0.7891620911246934,0.8595198264747352,0.7191389138385879,0.04008825469132826,0.4127753973007202,0.5118228197097778,0.46702808141708374,0.02407739870250225
20,0.0009363620667976085,10.595,0.42336022453062344,0.3806610045625098,0.8888130386551754,0.8313797105338336,0.8879480683543368,0.775236958302976,0.4916139291008178,0.8625426621160409,0.7928397637157851,0.8619686425650854,0.7240424772933768,0.03853994681804851,0.4072900712490082,0.5127511024475098,0.4659297466278076,0.024852581322193146
21,0.0009256109367611207,10.597,0.41616364324272914,0.374407707164796,0.8927382882498507,0.8372554313204189,0.8917862405286446,0.783085480673749,0.4833848550051146,0.8638225255972696,0.7944672098299812,0.863066746888166,0.726183927602117,0.042788221490437706,0.4103453457355499,0.5115299820899963,0.4650109112262726,0.024745479226112366
22,0.0009140972210372712,10.732,0.40626232230792486,0.35338762784759,0.8982421708336888,0.8464506336245221,0.8979230116990576,0.7952888457429572,0.49352790568875776,0.8668088737201365,0.8000208185770175,0.8667682589100719,0.7335318273076297,0.04642981504750465,0.40570640563964844,0.5130999088287354,0.46371158957481384,0.02573365904390812
23,0.0009018428366383368,10.665,0.39769312098262477,0.34698262950322034,0.9001621298745627,0.8491693762931796,0.8997430304646092,0.7989067236430607,0.49202339344057205,0.8658703071672355,0.7984216958076776,0.8655905502440226,0.7315134875295812,0.050747680485501934,0.39841723442077637,0.5124855041503906,0.46263858675956726,0.026489023119211197
24,0.0008888711104815145,10.824,0.3901879531764081,0.3462042649793832,0.9018260943766533,0.8513880421891524,0.9011209798389747,0.8019715808681239,0.4831436552081906,0.8661262798634812,0.7982973195392193,0.8655707704939474,0.7313190435763944,0.053090722649933086,0.392423540353775,0.5153112411499023,0.4619632661342621,0.027189746499061584
