epoch,lr,epoch_seconds,train_step_loss,train_loss,train_acc,train_macro_f1,train_weighted_f1,train_malware_avg_f1,val_loss,val_acc,val_macro_f1,val_weighted_f1,val_malware_avg_f1,macro_f1_gap_train_minus_val,cont_gate_min,cont_gate_max,cont_gate_mean,cont_gate_std
1,0.000125,10.162,0.9567026230792298,0.7917657721997813,0.7232059049406946,0.5662994445842098,0.7087133677173498,0.42342818424114453,0.7979443024449788,0.722098976109215,0.5631892657927837,0.7061033924619687,0.41966599321514814,0.003110178791426055,0.4979037046432495,0.501343309879303,0.4993790090084076,0.0008512125350534916
2,0.00025,9.653,0.7494890129609934,0.6798929094261191,0.7891244986773616,0.6796017035212051,0.7860767871363668,0.5738290093295212,0.6822834604836161,0.7864334470989761,0.6779654837350275,0.7844018635739352,0.5721044091756653,0.0016362197861775618,0.4948320686817169,0.5021852850914001,0.49893152713775635,0.0013208547607064247
3,0.000375,9.766,0.666960589566708,0.6045425172724489,0.8183078760986432,0.7276212739075789,0.8185696379993915,0.6370772753393251,0.6188802402174106,0.8138225255972696,0.7215154982030612,0.8141062333202939,0.6292844477163964,0.006105775704517757,0.49246394634246826,0.5032399892807007,0.49816903471946716,0.00198678532615304
4,0.0005,9.854,0.6222853320980959,0.583589382444859,0.8250490656199334,0.7297677660287035,0.820509943890775,0.6398895380532101,0.5964785307340654,0.8209044368600683,0.7255171908696046,0.8172858567556138,0.6345066315023381,0.004250575159098879,0.48900148272514343,0.5040295124053955,0.497178316116333,0.00269463867880404
5,0.000625,9.978,0.5908519193340623,0.5428040073088629,0.8409847256591859,0.7580771829322341,0.8388063929588322,0.6777135654105949,0.5754899525805138,0.8302901023890785,0.7432703495091635,0.8284950210360991,0.6582910180129005,0.014806833423070653,0.4831712245941162,0.5055297613143921,0.4964919984340668,0.003921894356608391
6,0.00075,10.001,0.5714562341808632,0.5338142741071312,0.8450593054014848,0.7647823980858124,0.8435328356489594,0.6866113477305976,0.5562587506128253,0.8380546075085324,0.7549037847275711,0.8366259756040219,0.6737171664809631,0.00987861335824125,0.47721046209335327,0.5056106448173523,0.49539947509765625,0.0048979297280311584
7,0.000875,10.272,0.5572875977854383,0.5219279896461249,0.8466806041471115,0.77063710629152,0.8472709783001212,0.6943464128074354,0.5521227994469653,0.8387372013651877,0.7588139729781878,0.8391079605723765,0.6787032390164546,0.01182313331333229,0.4713304936885834,0.5042723417282104,0.49393603205680847,0.006036766339093447
8,0.001,10.395,0.5476298562973186,0.519182236164704,0.850221861933612,0.7761365772675465,0.8508696925303278,0.7017287833442691,0.5584284517952199,0.8408703071672355,0.7624718885612523,0.8414500088379163,0.6836941671086413,0.013664688706294226,0.46804162859916687,0.5044059753417969,0.492543488740921,0.007230923045426607
9,0.0009995479052513825,10.601,0.5399683904542035,0.5093501833978697,0.8522058196091816,0.7742080296704392,0.8497202565774449,0.6992572157364197,0.5392407431944238,0.8398464163822525,0.7577171518985248,0.8383769594233453,0.6774973743106822,0.01649087777191438,0.4634484052658081,0.5048068165779114,0.4913173317909241,0.008258541114628315
10,0.0009981924815935792,10.64,0.5225429396466983,0.48713424372555036,0.8562164007167847,0.7844753673270224,0.8565544282368327,0.7127618422202179,0.5374630520368192,0.8412116040955632,0.7626808022706714,0.841638042036321,0.6839727867279773,0.021794565056351023,0.4612674117088318,0.5078582167625427,0.490509033203125,0.009072410874068737
11,0.00099593630915256,10.612,0.5097205045178681,0.4833678763767631,0.8586910145916887,0.7869185878438434,0.8581576343439495,0.7160478515276726,0.5371762765552404,0.8406143344709898,0.760365589739983,0.8400586313975645,0.6809992237133585,0.02655299810386036,0.4608105421066284,0.507432758808136,0.4889700710773468,0.009788192808628082
12,0.000992783682680799,10.522,0.49692300144891016,0.4757420698096396,0.861997610717638,0.7874741802494145,0.8588825018777181,0.7167389343128785,0.5343050706508623,0.8447098976109215,0.7633003538897255,0.8423588908473407,0.6847987875466055,0.02417382635968901,0.45748212933540344,0.5059087872505188,0.4873921573162079,0.010772449895739555
13,0.0009887406033819684,10.441,0.48657780257556327,0.4415626084756725,0.8739226896492874,0.8094396851711847,0.8732837749211442,0.7460049190232624,0.5144176083213233,0.8540955631399317,0.7806647780387093,0.8536831944337273,0.7079227441790191,0.028774907132475436,0.4541832208633423,0.5065955519676208,0.48648980259895325,0.011601423844695091
14,0.0009838147674873074,10.351,0.4687993155957815,0.43573049207994663,0.8746480075091732,0.8122234007724398,0.8749501635676928,0.7497877155928884,0.5120681339156505,0.8563993174061434,0.7853552874785196,0.8567406822210318,0.7141201459210363,0.02686811329392025,0.4538913667201996,0.507523775100708,0.48540374636650085,0.01223464123904705
15,0.0009780155516054079,10.367,0.4558156923417071,0.41579130600414055,0.8782532639303695,0.8162571887381994,0.8776975266163222,0.7551376314224408,0.49860600613489897,0.8569112627986348,0.7849876618840391,0.8565378210468942,0.7136584125666969,0.03126952685416029,0.4526401460170746,0.5074666738510132,0.4844825863838196,0.012924826703965664
16,0.0009713539948733066,10.415,0.44854012068368354,0.40681674943990354,0.8848877890605,0.8256953918248384,0.8841361359609363,0.7676507410146841,0.49336795316621307,0.8617747440273038,0.7918564489853529,0.8612589937812909,0.7227595338907554,0.03383894283948552,0.4504731297492981,0.5070340037345886,0.48346757888793945,0.013444731011986732
17,0.0009638427779428612,10.506,0.43582598146994334,0.3866911302736691,0.8901783428620189,0.8336450637335022,0.8893837633113861,0.7782218645763418,0.48571445266541363,0.8617747440273038,0.7914938667682284,0.8610695167561057,0.7221909972047,0.04215119696527381,0.4487239122390747,0.5086293816566467,0.48248711228370667,0.014116562902927399
18,0.0009554961988424088,10.557,0.4239042583194667,0.390907731173907,0.8872130727877805,0.8282647345899108,0.8857245928474707,0.7711120708470505,0.5135560862847156,0.8613481228668942,0.7901229373420279,0.8599481944672512,0.7205618245961009,0.038141797247882914,0.44696247577667236,0.5081018805503845,0.48157867789268494,0.014897709712386131
19,0.0009463301457596552,10.543,0.4123535181045003,0.36370875295726846,0.8958528884717126,0.8428386211865687,0.8954625775288886,0.7905368300692416,0.4969296758695674,0.863481228668942,0.7949553570353007,0.8632393396347523,0.7269200249278026,0.04788326415126798,0.44695961475372314,0.5098908543586731,0.4806826710700989,0.015568661503493786
20,0.0009363620667976085,10.529,0.4054916942167408,0.34837347915762773,0.8989674886935746,0.8465664354911192,0.8980228606644582,0.7954788016634441,0.4975567323762809,0.8652730375426622,0.7969479256826212,0.8646336675927411,0.7295198954489447,0.049618509808498024,0.44610080122947693,0.5102726221084595,0.4798147976398468,0.015986263751983643
21,0.0009256109367611207,10.478,0.39786157378951825,0.3546289425349315,0.898199505077225,0.8449548573527096,0.8970660987110175,0.7933015869745886,0.4966847007185119,0.8627133105802047,0.7923036884066939,0.861737926946195,0.7232706574313749,0.052651168946015736,0.44400256872177124,0.5125951766967773,0.47913432121276855,0.016934461891651154
22,0.0009140972210372712,10.46,0.3884966361542002,0.3274730778292835,0.9060286713883438,0.857552483535337,0.9053507348353501,0.8101055320856992,0.49108913349617056,0.8657849829351536,0.7979177370687109,0.8653793215628243,0.7307845917260746,0.05963474646662603,0.44003790616989136,0.517166256904602,0.4778912663459778,0.017825249582529068
23,0.0009018428366383368,10.471,0.3772112614684915,0.3238945455007539,0.9065833262223739,0.8580890249646768,0.9057280157385471,0.8108351465212892,0.4853901801255783,0.8665529010238908,0.7986765780844903,0.8659335217119818,0.731739506650927,0.05941244688018643,0.43999677896499634,0.5140641927719116,0.4774627685546875,0.018002331256866455
24,0.0008888711104815145,10.447,0.3690771644397628,0.31711192315771614,0.9089086099496544,0.8620724022130395,0.9083618774882074,0.816124981335325,0.5056368576992087,0.8667235494880546,0.7993548845634284,0.8663242613749352,0.7326723202673824,0.06271751764961109,0.43967676162719727,0.5141587853431702,0.4770158529281616,0.018014011904597282
25,0.0008752067349848089,10.454,0.3612798859702004,0.31639085960160324,0.9079912961856814,0.85983911552984,0.9069190450770577,0.8131472633305697,0.48564441657717317,0.8661262798634812,0.7974847227258798,0.8651498924851355,0.7301787031902894,0.06235439280396027,0.437913179397583,0.5131349563598633,0.4763028025627136,0.018631981685757637
26,0.0008608757210636101,10.329,0.3523689692658627,0.2960148240373712,0.9148391500981312,0.870478557724677,0.913968474877353,0.827326077876497,0.514448243196507,0.8676621160409557,0.7998865777419628,0.8667373222486043,0.7333527812459829,0.07059197998271416,0.43551546335220337,0.5148574113845825,0.4758535623550415,0.01902787759900093
27,0.0008459053486174387,10.458,0.3407517423024712,0.28666357498332107,0.9190203942315898,0.8775285784453113,0.9186171291625346,0.8367332175254205,0.49329819030322314,0.8709044368600682,0.8055711883961645,0.8705457170344657,0.7408753695882409,0.07195739004914681,0.4333723485469818,0.5145877599716187,0.47500184178352356,0.01907981000840664
28,0.0008303241146011062,10.479,0.33465502452897133,0.2861635159185818,0.9185297380322553,0.876888504660098,0.9180716444170556,0.8359580380807595,0.527818574880984,0.864419795221843,0.7952523264847642,0.8635737928141765,0.7271738378512923,0.08163617817533386,0.4311195909976959,0.5148858428001404,0.474520206451416,0.01941865123808384
29,0.0008141616787791424,10.494,0.3262283308548329,0.26445660626525125,0.92266831640925,0.8827990242361111,0.9221205368994289,0.8437818164649636,0.5155904010090812,0.866296928327645,0.7988776919886484,0.8659487004354485,0.7320930483238611,0.08392133224746268,0.4310401976108551,0.5138052105903625,0.4739016890525818,0.0199075136333704
30,0.0007974488072667468,10.535,0.31650261605739066,0.26370684757392576,0.9251855960406178,0.8867767351841505,0.9247968001745358,0.8490427580233116,0.5226607215282453,0.8684300341296929,0.8019877685149834,0.8680627567511456,0.7361828322027892,0.08478896666916702,0.42885562777519226,0.5136845707893372,0.47338536381721497,0.02024424448609352
